,Return,Sharpe Ratio
TATAMOTORS.NS,0.625462305,2.26803842
BHARTIARTL.NS,0.424036096,2.166989896
GAIL.NS,0.445529615,2.088316969
VEDL.NS,0.573263532,2.072284197
TATASTEEL.NS,0.535044049,2.052274268
TITAN.NS,0.438278153,2.036913787
TCS.NS,0.35988843,1.986841281
INDUSINDBK.NS,0.485215768,1.982251858
HINDALCO.NS,0.478442069,1.907770833
ADANIPORTS.NS,0.372477847,1.880007551
UPL.NS,0.417552666,1.878835461
HDFC.NS,0.343989042,1.857396121
ZEEL.NS,0.447523471,1.832231613
AXISBANK.NS,0.43405086,1.819987425
SBIN.NS,0.340679461,1.809778629
COALINDIA.NS,0.264821908,1.791955239
HCLTECH.NS,0.351183334,1.788906403
ICICIBANK.NS,0.411216798,1.787426389
BAJAJ-AUTO.NS,0.297168227,1.770712944
ULTRACEMCO.NS,0.342344167,1.766030509
DRREDDY.NS,0.319363608,1.759211576
RELIANCE.NS,0.345640969,1.757579751
BAJFINANCE.NS,0.548555485,1.740487291
GRASIM.NS,0.351115971,1.739625754
EICHERMOT.NS,0.352668089,1.73711867
KOTAKBANK.NS,0.411825126,1.717320937
SUNPHARMA.NS,0.299547843,1.631134231
JSWSTEEL.NS,0.496709614,1.618552565
MARUTI.NS,0.290155825,1.584522769
SHREECEM.NS,0.306528536,1.579494597
ASIANPAINT.NS,0.282281113,1.570369518
HINDUNILVR.NS,0.284213722,1.549809432
ITC.NS,0.285468426,1.546887721
HEROMOTOCO.NS,0.244860644,1.543858919
BAJAJFINSV.NS,0.379750621,1.538095221
ONGC.NS,0.281467127,1.521357511
M&M.NS,0.401429353,1.496391448
NTPC.NS,0.258958493,1.473154323
LT.NS,0.416784832,1.439881598
TECHM.NS,0.295577818,1.436294397
BRITANNIA.NS,0.243961398,1.425523623
NESTLEIND.NS,0.219538244,1.37329347
INFRATEL.NS,0.332438174,1.33786048
BPCL.NS,0.501976107,1.134679452
CIPLA.NS,0.200183846,1.085415832
POWERGRID.NS,0.184903017,1.042813152
INFY.NS,0.464004727,1.023701002
HDFCBANK.NS,0.289299914,0.900763413
WIPRO.NS,0.494371979,0.726570664
IOC.NS,0.535490977,0.571732009
